k,n,p,nombre,longitud_esperada,prob_cobertura
50,1,0.99,bootstrap,0.028283250000000013,0.3955
50,1,0.99,clopper,0.08771877559613193,0.9845
50,5,0.01,asintotico_cuadratico,0.02769285850775053,0.96
50,5,0.01,asintotico_slutsky,0.02260134988077301,0.9115
50,5,0.01,bootstrap,0.021011,0.906
50,5,0.01,clopper,0.028848552198900812,0.988
50,5,0.1,asintotico_cuadratico,0.0741864808712676,0.9585
50,5,0.1,asintotico_slutsky,0.07373093928515126,0.9305
50,5,0.1,bootstrap,0.07230289999999999,0.923
50,5,0.1,clopper,0.07767820880411577,0.9655
50,5,0.5,asintotico_cuadratico,0.12277530722018452,0.9505
50,5,0.5,asintotico_slutsky,0.1237112224493346,0.9505
50,5,0.5,bootstrap,0.12140529999999995,0.935
50,5,0.5,clopper,0.12706940741694123,0.9505
50,5,0.9,asintotico_cuadratico,0.0743608968801041,0.951
50,5,0.9,asintotico_slutsky,0.07391145715137555,0.93
50,5,0.9,bootstrap,0.07247279999999996,0.921
50,5,0.9,clopper,0.0778562233788098,0.962
50,5,0.99,asintotico_cuadratico,0.02783792824575629,0.959
50,5,0.99,asintotico_slutsky,0.022753443625933376,0.9075
50,5,0.99,bootstrap,0.021221749999999966,0.902
50,5,0.99,clopper,0.029003753656750057,0.982
50,20,0.01,asintotico_cuadratico,0.012786220839866165,0.964
50,20,0.01,asintotico_slutsky,0.012231628335065447,0.935
50,20,0.01,bootstrap,0.011889037499999998,0.9165
50,20,0.01,clopper,0.013413003232538571,0.977
50,20,0.1,asintotico_cuadratico,0.03721645613699236,0.9475
50,20,0.1,asintotico_slutsky,0.0371610450577669,0.9555
50,20,0.1,bootstrap,0.0363777875,0.9345
50,20,0.1,clopper,0.03815616236616997,0.9555
50,20,0.5,asintotico_cuadratico,0.061830166402321377,0.9435
50,20,0.5,asintotico_slutsky,0.06194869360028788,0.9435
50,20,0.5,bootstrap,0.06100685,0.946
50,20,0.5,clopper,0.06287092161292332,0.9515
50,20,0.9,asintotico_cuadratico,0.037124738936110936,0.949
50,20,0.9,asintotico_slutsky,0.03706848064540193,0.947
50,20,0.9,bootstrap,0.03628739999999999,0.926
